row_id,country,is_urban,age,female,married,religion,relationship_to_hh_head,education_level,literacy,can_add,can_divide,can_calc_percents,can_calc_compounding,employed_last_year,employment_category_last_year,employment_type_last_year,share_hh_income_provided,income_ag_livestock_last_year,income_friends_family_last_year,income_government_last_year,income_own_business_last_year,income_private_sector_last_year,income_public_sector_last_year,num_times_borrowed_last_year,borrowing_recency,formal_savings,informal_savings,cash_property_savings,has_insurance,has_investment,bank_interest_rate,mm_interest_rate,mfi_interest_rate,other_fsp_interest_rate,num_shocks_last_year,avg_shock_strength_last_year,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,borrowed_for_home_or_biz_last_year,phone_technology,can_call,can_text,can_use_internet,can_make_transaction,phone_ownership,advanced_phone_use,reg_bank_acct,reg_mm_acct,reg_formal_nbfi_account,financially_included,active_bank_user,active_mm_user,active_formal_nbfi_user,active_informal_nbfi_user,nonreg_active_mm_user,num_formal_institutions_last_year,num_informal_institutions_last_year,num_financial_activities_last_year
10,A,FALSE,29,FALSE,TRUE,Q,Head,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,employed,irregular_seasonal,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1
11,D,FALSE,26,TRUE,TRUE,X,Spouse,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,employed,irregular_seasonal,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,1,2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
12,F,FALSE,30,TRUE,TRUE,Q,Spouse,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,employed,irregular_seasonal,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
13,C,TRUE,50,FALSE,TRUE,P,Spouse,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,employed,salaried,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,1
14,A,FALSE,50,TRUE,FALSE,Q,Head,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,housewife_or_student,not_working,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,1,4,FALSE,FALSE,FALSE,3,TRUE,FALSE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,4
15,I,TRUE,19,TRUE,FALSE,Q,Son/Daughter,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,TRUE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
16,J,FALSE,49,FALSE,FALSE,X,Head,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,employed,irregular_seasonal,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,3,5,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
17,G,FALSE,35,TRUE,TRUE,X,Spouse,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,employed,self_employed,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,2,2,FALSE,TRUE,TRUE,TRUE,TRUE,,,,10,0,0,TRUE,TRUE,FALSE,2,FALSE,TRUE,FALSE,TRUE,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,4
18,D,FALSE,55,TRUE,FALSE,X,Head,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,employed,irregular_seasonal,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,1,2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
19,G,FALSE,21,TRUE,FALSE,X,Head,2,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,employed,self_employed,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,1,4,FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,4
20,G,TRUE,28,TRUE,TRUE,X,Spouse,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,employed,self_employed,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,0,0,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,6
21,I,FALSE,52,FALSE,TRUE,Q,Head,2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,employed,salaried,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,1,4,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,2
22,A,TRUE,19,FALSE,FALSE,P,Son/Daughter,3,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,housewife_or_student,not_working,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,1,4,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,1,4
23,I,TRUE,17,FALSE,TRUE,O,Son/Daughter,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,employed,self_employed,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,1
24,G,FALSE,67,TRUE,FALSE,X,Head,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,employed,irregular_seasonal,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,2,5,TRUE,FALSE,TRUE,2,TRUE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,1,5
25,C,FALSE,67,FALSE,TRUE,P,Head,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,other,other,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1
26,A,FALSE,56,FALSE,TRUE,Q,Head,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,employed,self_employed,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,1,4,FALSE,TRUE,FALSE,2,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
27,I,FALSE,34,FALSE,TRUE,Q,Sister/Brother,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,employed,salaried,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
28,D,FALSE,23,FALSE,FALSE,X,Son/Daughter,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,employed,self_employed,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,,,,,1,4,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,0,3
29,D,FALSE,20,FALSE,FALSE,X,Son/Daughter,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,3,3.666666667,FALSE,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
30,C,FALSE,54,FALSE,TRUE,P,Head,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,employed,salaried,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,2,2.5,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,1
31,J,FALSE,24,TRUE,TRUE,X,Spouse,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,employed,self_employed,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,2,FALSE,TRUE,TRUE,FALSE,TRUE,,,,,3,3.333333333,TRUE,TRUE,TRUE,0,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0
32,J,FALSE,45,TRUE,TRUE,X,Spouse,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,employed,irregular_seasonal,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,TRUE,TRUE,FALSE,TRUE,,,,,3,5,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,2
33,F,FALSE,23,TRUE,TRUE,Q,Spouse,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,housewife_or_student,not_working,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,,,,,2,1.5,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
34,I,FALSE,47,FALSE,TRUE,Q,Head,2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,employed,self_employed,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
35,D,FALSE,30,FALSE,TRUE,X,Head,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,employed,irregular_seasonal,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,1,2,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
36,F,FALSE,17,TRUE,TRUE,X,Father/Mother,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,1,1,FALSE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
37,C,FALSE,32,FALSE,TRUE,P,Head,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,employed,salaried,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,FALSE,TRUE,TRUE,TRUE,FALSE,,,3,,0,0,TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,8
38,G,FALSE,37,FALSE,TRUE,X,Head,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,employed,self_employed,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,2,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,0,0,TRUE,FALSE,TRUE,3,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,0,9
39,A,FALSE,26,TRUE,TRUE,Q,Spouse,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,1,4,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
40,D,FALSE,33,TRUE,TRUE,X,Spouse,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,housewife_or_student,not_working,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,1,4,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
41,A,TRUE,35,FALSE,TRUE,Q,Head,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,employed,irregular_seasonal,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,1,4,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1
42,F,FALSE,30,FALSE,TRUE,Q,Head,2,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,employed,irregular_seasonal,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,2,1,FALSE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
43,J,FALSE,23,FALSE,TRUE,X,Son/Daughter,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,employed,irregular_seasonal,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,3,5,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,3
44,G,TRUE,31,TRUE,TRUE,X,Spouse,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,employed,self_employed,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,0,0,FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,TRUE,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,2,1,4
45,C,FALSE,34,TRUE,TRUE,P,Spouse,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,housewife_or_student,not_working,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,2,4.5,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1
46,G,TRUE,22,FALSE,FALSE,X,Head,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,employed,salaried,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE,TRUE,2,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2,0,5
47,D,FALSE,51,TRUE,TRUE,X,Head,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,employed,irregular_seasonal,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,2,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,2,3,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,1,0
48,D,FALSE,29,TRUE,TRUE,X,Other,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,employed,self_employed,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,3,3,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
49,C,FALSE,67,FALSE,TRUE,P,Father/Mother,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,other,other,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,2,4,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,1
50,G,FALSE,38,TRUE,TRUE,X,Spouse,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,employed,self_employed,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,0,0,FALSE,FALSE,FALSE,3,TRUE,FALSE,FALSE,TRUE,2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,1,4
51,J,FALSE,60,TRUE,FALSE,X,Head,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,employed,irregular_seasonal,3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,1,5,TRUE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,3
52,F,TRUE,19,FALSE,FALSE,Q,Son/Daughter,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,unemployed,not_working,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,,,,100,3,1.333333333,TRUE,TRUE,TRUE,0,TRUE,TRUE,TRUE,FALSE,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,3,0
53,I,FALSE,15,TRUE,FALSE,P,Son/Daughter,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,housewife_or_student,not_working,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0
54,G,TRUE,64,FALSE,TRUE,X,Head,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,employed,salaried,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,0,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,4
